['red_vertically', 'blue_horizontally'];C:\Users\Timur\Downloads\hex_agony\mini_blue_test\checkpoint-392730;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\checkpoint-523640;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_1_checkpoint-654550_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_1_checkpoint-720005_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_2_checkpoint-4180000_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_2_checkpoint-5852000_b
C:\Users\Timur\Downloads\hex_agony\mini_red_test\checkpoint-382980;[62, 59];[57, 64];[68, 53];[65, 56];[60, 61];[66, 55]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\checkpoint-510640;[60, 61];[56, 65];[65, 56];[64, 57];[64, 57];[67, 54]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_1_checkpoint-638300_r;[45, 76];[49, 72];[56, 65];[54, 67];[43, 78];[41, 80]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_1_checkpoint-765960_r;[54, 67];[55, 66];[57, 64];[52, 69];[51, 70];[59, 62]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_2_checkpoint-4180000_r;[45, 76];[46, 75];[63, 58];[59, 62];[51, 70];[56, 65]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_2_checkpoint-5852000_r;[43, 78];[49, 72];[67, 54];[66, 55];[50, 71];[58, 63]
