epoch,average_training_loss,validation_loss,train_eval_loss
1.0,3.5067771653543303,3.111461877822876,3.075777053833008
2.0,3.02385859375,2.8178210258483887,2.7691309452056885
3.0,2.825525984251968,2.6355786323547363,2.5784659385681152
4.0,2.69118828125,2.523773670196533,2.456390857696533
5.0,2.59384609375,2.4421026706695557,2.3604493141174316
6.0,2.5164307086614173,2.3642420768737793,2.2829298973083496
7.0,2.45395234375,2.311380386352539,2.2128772735595703
8.0,2.40002265625,2.2662575244903564,2.1570680141448975
9.0,2.3522716535433075,2.2275304794311523,2.1117241382598877
10.0,2.31143203125,2.195272922515869,2.0700557231903076
11.0,2.2738375,2.1774654388427734,2.041508913040161
12.0,2.2435228346456695,2.134215831756592,1.9934557676315308
13.0,2.213028125,2.1195735931396484,1.9693968296051025
14.0,2.1872046875,2.096954822540283,1.9404220581054688
15.0,2.1614755905511815,2.085744619369507,1.920405626296997
16.0,2.137759375,2.061413049697876,1.8899065256118774
17.0,2.11702109375,2.046797513961792,1.8673739433288574
18.0,2.096284251968503,2.029942750930786,1.844862937927246
19.0,2.07938828125,2.0189623832702637,1.8266735076904297
20.0,2.0607546875000002,2.0094456672668457,1.8105134963989258
21.0,2.0451181102362206,1.9973047971725464,1.7920697927474976
22.0,2.0337234375,1.991943359375,1.7792052030563354
23.0,2.01734453125,1.983940839767456,1.7643963098526
24.0,2.003942519685039,1.9679627418518066,1.745327353477478
25.0,1.9910109375,1.9630616903305054,1.7330479621887207
26.0,1.9810375,1.9513189792633057,1.7175339460372925
27.0,1.968214173228347,1.9471635818481445,1.7047498226165771
28.0,1.95656640625,1.9395086765289307,1.6916027069091797
29.0,1.946315625,1.9377332925796509,1.681644320487976
30.0,1.9366141732283462,1.9286253452301025,1.676047444343567
31.0,1.9267671875,1.925870418548584,1.660120964050293
32.0,1.9183296875,1.9225842952728271,1.6539496183395386
33.0,1.9084566929133857,1.9154305458068848,1.6430001258850098
34.0,1.9020046875,1.910368800163269,1.633453130722046
35.0,1.89316015625,1.9101433753967285,1.6234252452850342
36.0,1.8863472440944882,1.9059194326400757,1.6156607866287231
37.0,1.87657890625,1.9016952514648438,1.6090811491012573
38.0,1.8699679687500002,1.8902722597122192,1.5970561504364014
39.0,1.8643559055118109,1.8985949754714966,1.5968523025512695
40.0,1.8579679687499997,1.8931585550308228,1.5884475708007812
41.0,1.8484125,1.8880053758621216,1.5787240266799927
42.0,1.8449582677165355,1.8846046924591064,1.5724290609359741
43.0,1.8385656250000002,1.8846889734268188,1.5657293796539307
44.0,1.83369609375,1.8805854320526123,1.5599972009658813
45.0,1.82731968503937,1.8812810182571411,1.5577126741409302
46.0,1.8211734375000002,1.8738397359848022,1.5500304698944092
47.0,1.8178468749999999,1.872905969619751,1.546394944190979
48.0,1.8120307086614171,1.8725926876068115,1.5411490201950073
49.0,1.806471875,1.8691173791885376,1.535130262374878
50.0,1.80302734375,1.8632985353469849,1.5264161825180054
51.0,1.7970811023622046,1.8668848276138306,1.5270977020263672
52.0,1.79313203125,1.8600965738296509,1.5191640853881836
53.0,1.78718188976378,1.8588974475860596,1.516144871711731
54.0,1.78276953125,1.863190770149231,1.517318844795227
55.0,1.77886875,1.8592561483383179,1.5127450227737427
56.0,1.777456692913386,1.8577312231063843,1.507919192314148
57.0,1.7733046875,1.8570092916488647,1.5068087577819824
58.0,1.7700546875,1.8546556234359741,1.5030696392059326
59.0,1.7681078740157479,1.8554596900939941,1.5031362771987915
60.0,1.7671203125,1.8554022312164307,1.502639651298523
