epoch,average_training_loss,validation_loss,train_eval_loss
1.0,2.275618110236221,2.0369038581848145,1.924136996269226
2.0,2.07430234375,1.9752771854400635,1.8343243598937988
3.0,2.002485039370079,1.9286168813705444,1.77762770652771
4.0,1.9582812500000002,1.9080334901809692,1.7373590469360352
5.0,1.92373828125,1.887150764465332,1.704940676689148
6.0,1.8990086614173225,1.8608474731445312,1.670979380607605
7.0,1.87866484375,1.8552086353302002,1.6520774364471436
8.0,1.85865234375,1.8409700393676758,1.6282638311386108
9.0,1.840548031496063,1.8457804918289185,1.6220132112503052
10.0,1.8286859375,1.8355906009674072,1.6027143001556396
11.0,1.81544375,1.8273357152938843,1.5878245830535889
12.0,1.8037062992125983,1.817041277885437,1.5733108520507812
13.0,1.7940640625000002,1.8198189735412598,1.5625102519989014
14.0,1.7835039062500002,1.8193835020065308,1.549576759338379
15.0,1.7748866141732285,1.8164232969284058,1.5448694229125977
16.0,1.76645703125,1.820585012435913,1.538882851600647
17.0,1.7593078125,1.8162636756896973,1.5323607921600342
18.0,1.750353543307087,1.802216649055481,1.517839789390564
19.0,1.74478046875,1.8007780313491821,1.5057177543640137
20.0,1.7382109374999999,1.796053409576416,1.501349687576294
21.0,1.7313102362204722,1.792429804801941,1.4908626079559326
22.0,1.7269296875,1.7979646921157837,1.489298701286316
23.0,1.7208859374999999,1.7951064109802246,1.4828910827636719
24.0,1.714172440944882,1.7884913682937622,1.474873423576355
25.0,1.7113328125,1.7905843257904053,1.4752405881881714
26.0,1.7055,1.7890886068344116,1.4660265445709229
27.0,1.7014850393700787,1.7877564430236816,1.4583430290222168
28.0,1.6956210937499998,1.7889920473098755,1.4549328088760376
29.0,1.6914640625,1.7892343997955322,1.4513752460479736
30.0,1.6879740157480314,1.7843925952911377,1.4460301399230957
31.0,1.6866554687500002,1.7818517684936523,1.4436696767807007
32.0,1.684425,1.7888953685760498,1.4397162199020386
33.0,1.6805330708661417,1.7842285633087158,1.4341274499893188
34.0,1.67528046875,1.7749942541122437,1.4266510009765625
35.0,1.67300859375,1.778414011001587,1.422776699066162
36.0,1.6679141732283465,1.7799391746520996,1.4182491302490234
37.0,1.6651476562499998,1.7770437002182007,1.417466640472412
38.0,1.66369296875,1.7806313037872314,1.4156917333602905
39.0,1.6594307086614173,1.7767733335494995,1.4154688119888306
40.0,1.6576171875,1.778986930847168,1.4079164266586304
41.0,1.654803125,1.7772678136825562,1.4061205387115479
42.0,1.6513503937007876,1.7752225399017334,1.4005120992660522
43.0,1.6475874999999998,1.7741613388061523,1.4008419513702393
44.0,1.646490625,1.7758334875106812,1.3979072570800781
45.0,1.6431393700787402,1.7795827388763428,1.39783775806427
46.0,1.6412062500000002,1.7726197242736816,1.3934098482131958
47.0,1.6390015624999998,1.7723232507705688,1.392423152923584
48.0,1.6385787401574805,1.775395154953003,1.38965904712677
49.0,1.6338085937499998,1.7750903367996216,1.3893603086471558
50.0,1.6327992187499998,1.7700612545013428,1.3830264806747437
51.0,1.6303976377952758,1.776830792427063,1.386352300643921
52.0,1.6298578125,1.7727479934692383,1.3842161893844604
53.0,1.6274173228346458,1.7693530321121216,1.3783986568450928
54.0,1.62556953125,1.772948980331421,1.3806051015853882
55.0,1.624865625,1.7721883058547974,1.3780699968338013
56.0,1.623623622047244,1.7703399658203125,1.3754690885543823
57.0,1.61947265625,1.7745604515075684,1.376874327659607
58.0,1.620946875,1.7731573581695557,1.3752832412719727
59.0,1.6178984251968505,1.772658348083496,1.3754875659942627
60.0,1.617271875,1.7731508016586304,1.3754287958145142
