epoch,average_training_loss,validation_loss,train_eval_loss
1.0,2.206988976377953,2.0184824466705322,1.9163345098495483
2.0,2.0596125,1.9622827768325806,1.833534598350525
3.0,2.0012496062992127,1.9333786964416504,1.7879115343093872
4.0,1.9618453125,1.9087677001953125,1.7496825456619263
5.0,1.9319375,1.8907723426818848,1.7178525924682617
6.0,1.90933937007874,1.8646610975265503,1.685687780380249
7.0,1.8906234375,1.8663454055786133,1.668166160583496
8.0,1.8724781250000002,1.8558568954467773,1.647112250328064
9.0,1.8552259842519685,1.8540105819702148,1.638461947441101
10.0,1.84491015625,1.851679801940918,1.6245588064193726
11.0,1.8308796875,1.8333373069763184,1.604059100151062
12.0,1.8194535433070864,1.8324201107025146,1.5909056663513184
13.0,1.81134296875,1.8254328966140747,1.5794486999511719
14.0,1.8014328124999999,1.8266252279281616,1.565864086151123
15.0,1.7908905511811024,1.8220943212509155,1.5595405101776123
16.0,1.78384453125,1.8218789100646973,1.5507564544677734
17.0,1.77623828125,1.822545051574707,1.545588731765747
18.0,1.767515748031496,1.81161630153656,1.5326664447784424
19.0,1.76167890625,1.8080662488937378,1.5204439163208008
20.0,1.75490390625,1.807561993598938,1.516350507736206
21.0,1.7472614173228345,1.7995637655258179,1.5038106441497803
22.0,1.74337109375,1.8027715682983398,1.5024346113204956
23.0,1.73685390625,1.8040354251861572,1.4961730241775513
24.0,1.729672440944882,1.8029080629348755,1.4891871213912964
25.0,1.72681796875,1.7945600748062134,1.4812898635864258
26.0,1.72036171875,1.8000578880310059,1.477839708328247
27.0,1.7157078740157483,1.7994097471237183,1.472872257232666
28.0,1.709815625,1.7938588857650757,1.4630249738693237
29.0,1.7076687499999998,1.794885516166687,1.4596742391586304
30.0,1.702133070866142,1.7934945821762085,1.4573193788528442
31.0,1.69854296875,1.7857578992843628,1.4503592252731323
32.0,1.6965046875,1.7987279891967773,1.4509090185165405
33.0,1.6913456692913384,1.7955756187438965,1.4437103271484375
34.0,1.6883875,1.7872716188430786,1.4373081922531128
35.0,1.68497578125,1.785905361175537,1.4299534559249878
36.0,1.6805590551181104,1.786698341369629,1.4293971061706543
37.0,1.676796875,1.7887156009674072,1.4248156547546387
38.0,1.6745968749999998,1.7826902866363525,1.4199423789978027
39.0,1.6694220472440946,1.781229853630066,1.418168544769287
40.0,1.66689296875,1.7875944375991821,1.415805459022522
