epoch,average_training_loss,validation_loss,train_eval_loss
1.0,3.4762771653543307,3.087167739868164,3.0548043251037598
2.0,2.9978984375,2.786591053009033,2.741663694381714
3.0,2.796855118110236,2.6120309829711914,2.556372880935669
4.0,2.66427734375,2.509063720703125,2.440124273300171
5.0,2.5679757812500004,2.4189815521240234,2.3395485877990723
6.0,2.4920015748031497,2.351079225540161,2.265108108520508
7.0,2.4332953125,2.2983365058898926,2.2023823261260986
8.0,2.3815976562500003,2.26090931892395,2.1518924236297607
9.0,2.334831496062993,2.228090524673462,2.1188580989837646
10.0,2.29678828125,2.195406436920166,2.070251941680908
11.0,2.2605945312499998,2.1591222286224365,2.0280678272247314
12.0,2.2290385826771653,2.1388659477233887,2.001683235168457
13.0,2.20183359375,2.1184167861938477,1.9721238613128662
14.0,2.1749109375,2.0953567028045654,1.939416766166687
15.0,2.152235433070867,2.082660436630249,1.9229439496994019
16.0,2.1308007812499996,2.072781801223755,1.9005687236785889
17.0,2.110728125,2.05277943611145,1.8783377408981323
18.0,2.0893496062992134,2.0425455570220947,1.860774278640747
19.0,2.07468671875,2.0240397453308105,1.8361330032348633
20.0,2.05625546875,2.018294095993042,1.8217511177062988
21.0,2.04121968503937,1.9992640018463135,1.7980037927627563
22.0,2.02898203125,2.0030906200408936,1.7945127487182617
23.0,2.01277890625,1.9884980916976929,1.7744145393371582
24.0,1.998843307086614,1.9740440845489502,1.757124662399292
25.0,1.9892734375,1.9731158018112183,1.7470828294754028
26.0,1.9757984375,1.9587711095809937,1.729672908782959
27.0,1.963688188976378,1.9603573083877563,1.7198594808578491
28.0,1.9526007812500001,1.9525500535964966,1.7097996473312378
29.0,1.94496640625,1.9461008310317993,1.6931041479110718
30.0,1.9343755905511812,1.9382531642913818,1.6869235038757324
31.0,1.9268226562500002,1.93222975730896,1.6746751070022583
32.0,1.9175242187500001,1.9375200271606445,1.6732234954833984
33.0,1.9090094488188978,1.9311953783035278,1.66275954246521
34.0,1.9010359375,1.919856071472168,1.6478872299194336
35.0,1.89399140625,1.9083987474441528,1.6319750547409058
36.0,1.8864645669291338,1.9087544679641724,1.6268662214279175
37.0,1.87878984375,1.9088338613510132,1.6224334239959717
38.0,1.8720578125,1.9096347093582153,1.6214474439620972
39.0,1.864783464566929,1.9127037525177002,1.6193705797195435
40.0,1.8593460937500002,1.9031606912612915,1.6048789024353027
41.0,1.85240390625,1.9077214002609253,1.6060948371887207
42.0,1.8458968503937008,1.8991442918777466,1.5907323360443115
43.0,1.8404546874999999,1.8942809104919434,1.581801414489746
44.0,1.8347742187500002,1.8933334350585938,1.578389048576355
45.0,1.827867716535433,1.8953101634979248,1.5774805545806885
46.0,1.8233968749999998,1.8869282007217407,1.5675281286239624
47.0,1.81857578125,1.8822110891342163,1.5623153448104858
48.0,1.814216535433071,1.8899190425872803,1.5649207830429077
49.0,1.80920234375,1.88307785987854,1.5554075241088867
50.0,1.8050546875000002,1.8747609853744507,1.5458260774612427
51.0,1.8004866141732285,1.8840757608413696,1.5489370822906494
52.0,1.79646171875,1.8772063255310059,1.5413854122161865
53.0,1.7915787401574805,1.8737356662750244,1.5374407768249512
54.0,1.7878921875,1.87824285030365,1.5382845401763916
55.0,1.7842859375,1.874276876449585,1.5338537693023682
56.0,1.7813771653543307,1.868132472038269,1.5255361795425415
57.0,1.77561015625,1.872679352760315,1.5292840003967285
58.0,1.77477109375,1.8697326183319092,1.5244098901748657
59.0,1.7704944881889764,1.8676955699920654,1.5222750902175903
60.0,1.7673140625,1.8689519166946411,1.5229641199111938
