Checkpoint;Wins;Losses;AlwaysFirst;ErrorTokens
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;222;278;310;425
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_blue_test\checkpoint-1551420_r_b;225;275;309;435
