Checkpoint;Wins;Losses;AlwaysFirst;ErrorTokens
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-765960_red;244;381;284;1207
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_mixed;248;377;315;862
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-4623780_mixed_hexhex;59;566;431;306
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_blue_test\checkpoint-785460_blue;216;409;210;1633
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_blue_test\checkpoint-1551420_mixed;245;380;228;1183
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_blue_test\checkpoint-4623780_mixed_hexhex;36;589;465;270
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420;270;355;319;918
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_blue_test\checkpoint-1551420;232;393;262;1105
