Checkpoint;Wins;Losses;AlwaysFirst;ErrorTokens
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-765960_red;224;276;260;701
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_mixed;226;274;310;494
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-4623780_mixed;18;482;326;308
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_blue_test\checkpoint-785460_blue;214;286;228;955
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_blue_test\checkpoint-1551420_mixed;218;282;311;438
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_blue_test\checkpoint-4623780_mixed;17;483;358;223
